bot,user
Bonjour je vous écoute ! 🐵,what is the number of Hospitalisation ?
656598,what is the percentage of sois en psychiatrie ?
"
17%",what is the percentage of soins palliatifs and soins de réadaptation ?
1%,what is the percentage of soins palliatifs ?
43%,quel est le pourcentage de soins palliatifs ?
"
43%",quel est le nombre d'hospitalisation ?
"4

15%",quel est le nombre d'hospitalisation ?
"4

15%",quel est le nombre d'hospitalisation ?
"4

15%",quel est le nombre d'hospitalisation ?
"4

15%",quel est le nombre d'hospitalisation ?
"4

15%",quel est le nombre d'hospitalisation ?
"4

15%",quel est le nombre d'hospitalisation ?
"4

15%",quel est le nombre d'hospitalisation ?
"4

15%",quel est le nombre d'hospitalisation ?
"4

15%",quel est le nombre d'hospitalisation ?
"4

15%",quel est le nombre d'hospitalisation ?
"4

15%",
